,Title,Company,Location,Job Snippet,Job Url,Salary
0,newCustomer Service Associate Manager,Wells Fargo,Manila,"Manage allocation of people and financial resources for customer service.Collaborate and consult with internal partners, relationship managers, and colleagues…",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdG5ZL4C8Qq4L6_9C5Q6In8jBHvbmjkmbwx_jqHGR-0crH-tFWzEUlHkw3aUwEuFp6cI1sXOO4G8wSo8q0KS_vww1LJPy0caFyX79-UdbiCtA6xA020hZ96DYSim6Q7pMT0KU6VihkwZ6PHiWZfqMXD-P3tnKXB13LFjnBVgqP1qAYKqRHIKuGlLxuU_eacFd1eab39V0cllS9g-EXPXXCRY41KLlThPmSIkQOJ22jCxJyzlmrtEO48nGiyUqistzhTe8MyJUU3y2exX_7NPB-ZVremaSXBEZeUsMN8uf70YWtVhvrQIZ9PKgC5trNyhEp0g27EdsLc5NgIeDGY3CoLwZc60MyHu8ZgFDj6-IxL3fZvM0OgCZ0OY7KIKAjfdUYw21YlKy9eM5X_XRpWOEYf_2hLOh6d-o4gePngheEbL8WpJGrZ8tn7vIcuAW6FS1W87Upb255KVqA7yb3dIjwNVMEyy1nbdNj95nLkXRqdt7n3tQN86rb6uTOBYa7vwaYxvPRoauOT68MuZjvkstOnHDkgwv3NlxuZtYb_OlKpBPh__n3NxLUYHVWkcUABCm2ecvvNziSESDSdsZc5MufpppHJDKGAsfjEEgBLEi0mXxq-ggfXaYTACmMML5w4WjF9YQouRnE-T7x4xxPv0Q2659gyVUdX241&p=0&fvj=0&vjs=3,None
1,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8e4qPyepnkPQ5E3MtxCjnT_JDC04qeaTNuxlLl4ATXi520fqYP7o7IOkPJ2A3wG2GGpx6XKW3pmwAqbDdR6IYhCHkOppB_EVA3yOZnd4Hft9qa6jowx0bwlezCemN9WZlvFacMWekM5KxxzUuHvJO1V6XNWb8-XPk7ROcTNqx6-BdZ9eqCWauNiyhqxth6K1CFr52GOmmN_CCEkvk_bYBk1wxrs7_P60PrLWXoDhfGN7gzSz6SqysyOe8_RVlKhsXO-2r0NyRWt691brVn03Ru-6R315IWksHE_EBJqUwdpwWTE3bI5t9pxA==&p=1&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
2,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Analyze and report weekly on controllable, sales and profits to ensure accurate and timely financial tracking.Ensure 100% customer satisfaction at all time.",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
3,Sales and Operations Manager,Icon Executive Asia,Taguig,Developing and controlling all operational budgets to ensure that the company has all the resources required to meet its objectives within agreed financial…,https://ph.indeed.com/company/Icon-Executive-Asia/jobs/Sales-Operation-Manager-6b81e27e73ec0f43?fccid=4792eba758818a50&vjs=3,"PHP 70,000 - PHP 100,000 a month"
4,newOperations Manager,Scentsmith Perfumery Inc,Manila,"Responsible for maximizing sales and profitability of retail stores while controlling expenses according to financial budget.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Scentsmith-Perfumery-Inc/jobs/Operation-Manager-d5f396b53c702894?fccid=90676b23cdfc6544&vjs=3,"PHP 50,000 a month"
5,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
6,newCollections Agency Manager,Eastwest Bank,Mandaluyong,"Reviews and corrects, if necessary, financial and non-financial endorsements submitted by the external collections agencies (ECAs).",https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
7,newArea Manager,Fruitas Holdings Inc,Quezon City,Undertake sound financial management to ensure stores are profitable and stay within budget.Lead a team of store managers towards effective collaboration and…,https://ph.indeed.com/company/Fruitas-Holdings-Inc./jobs/Area-Manager-26ecb8e3a263f959?fccid=b8f071bd5961ea7d&vjs=3,None
8,Sales Manager,Consistent Frozen Solutions,Temporarily Remote in Manila,"Accomplishes financial objectives by creating strategies and initiatives based on set sales targets, preparing an annual sales budget, analyzing variances, and…",https://ph.indeed.com/company/Consistent-Frozen-Solutions/jobs/Sales-Manager-47b34654098616dd?fccid=2594685aaaceda4d&vjs=3,"PHP 50,000 - PHP 100,000 a month"
9,newDuty Airport Manager Manila,Qantas Airways Limited,Manila,"As a Duty Airport Manager on a shift basis, you will be responsible for managing Airport operations & business through the optimisation of safety, customer…",https://ph.indeed.com/rc/clk?jk=719cf9381a7d1967&fccid=324609cba1d1a5ac&vjs=3,None
10,newRetail Operations Manager,Apollo Drugstore,Pasay,Loves metrics and numbers and has experience monitoring financial goals.Ensure that the stores achieve financial targets through monitoring and improvement of…,https://ph.indeed.com/company/One-Oasis-Premier-Holdings-Corp/jobs/Retail-Operation-Manager-85d368b02bbd7da9?fccid=46af5795e2e6a1b5&vjs=3,"PHP 35,000 - PHP 45,000 a month"
11,newFinancial Planning & Analysis Manager,Corporate Executive Search Inc.,Temporarily Remote in Taguig,Identifies and resolves issues in relation to financial statement review.Leads the standardization of analysis and presentation of financial and operational…,https://ph.indeed.com/company/Corporate-Executive-Search-Inc./jobs/Financial-Planning-Analysis-Manager-81dd324a7f9794cb?fccid=f3efc8c35a677b45&vjs=3,None
12,Sales Manager,Ingnius Systems Private Limited,Temporarily Remote in Taguig,"Comfortable work set up - laptop, headset, computer accessories, and financial contribution towards your WFH setup.Day 1 Premium HMO with Dental.",https://ph.indeed.com/company/Ingniusystek/jobs/Sales-Manager-2c683def33d266b1?fccid=11978632bd81f3f8&vjs=3,"PHP 70,000 - PHP 100,000 a month"
13,newOffice Manager,Emma The Sleep Company,Manila,"You will produce reports, achieve financial objectives, schedule expenditures and initiate corrective actions when required.",https://ph.indeed.com/rc/clk?jk=4a28ed7f3ee29e5c&fccid=28838a4ebeb1c188&vjs=3,None
14,Assistant Manager for Operations,"Online Loans Pilipinas Financing, Inc.",Mandaluyong,"Acts as the overall in-charge of operations when Head of Operations is not around.Makes independent decisions, which have a day to day impact in area of…","https://ph.indeed.com/company/ONLINE-LOANS-PILIPINAS-FINANCING,-INC./jobs/Assistant-Manager-Operation-7857848e62bec262?fccid=c1dc829679ef352b&vjs=3","PHP 40,000 a month"
