,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
39,OPERATION MANAGER,1016 Formula Petroleum Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/1016-Formula-Petroleum-Corporation/jobs/Operation-Manager-ce0178df1c067f8d?fccid=8697cf4b6da9d2b3&vjs=3,Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.,middle_level,35000.0
434,Restaurant Manager,1D Manpower Services Inc.,Pasig,"PHP 20,000 - PHP 30,000 a month",https://ph.indeed.com/company/1D-Manpower-Services-Inc./jobs/Restaurant-Manager-6789b5baf723e243?fccid=5a581c4dcb219b17&vjs=3,"You will ensure efficient restaurant operation, as well as maintain high production, productivity, quality, and customer-service standards.",middle_level,25000.0
689,Graphic Designer and Illustrator (Home-based),360 Digital Works Ltd. Inc.,Remote,"PHP 18,000 - PHP 25,000 a month",https://ph.indeed.com/company/360-Digital-Works-Ltd.-Inc./jobs/Graphic-Designer-Illustrator-d1e9cb756486405d?fccid=bd7be0de554419a8&vjs=3,Use the appropriate colors and layouts for each graphic.,middle_level,21500.0
961,Front-End Software Developer,AF Payments Incorporated,Remote,"PHP 80,000 - PHP 110,000 a month",https://ph.indeed.com/company/AF-Payments-Incorporated/jobs/Front-End-Software-Developer-bcfed46f7c223d11?fccid=162106b36a5726b4&vjs=3,"Write, evaluate and create source codes of software programs.",middle_level,95000.0
970,Salesforce Developer,AFDigital,Remote,"PHP 50,045 - PHP 104,403 a month",https://ph.indeed.com/company/AFDigital/jobs/Salesforce-Developer-c6eafa85f8446a69?fccid=653a69079ac47505&vjs=3,"Many aspects of the job are similar to those of a software developer, including analysis, testing, and deployment of new or updated applications.",middle_level,77224.0
73,Management Trainee,AIA Philipines,Remote,"PHP 50,000 - PHP 100,000 a month",https://ph.indeed.com/company/AIA-Philipines/jobs/Management-Trainee-803e025cb3d48230?fccid=9234c855e6199418&vjs=3,Requirements: College graduate of a 4 year course or with at least 2 years work experience.,senior_level,75000.0
506,Apache Spark Data Engineer,Accenture,Remote,"PHP 28,000 - PHP 57,000 a month",https://ph.indeed.com/company/Accenture/jobs/Apache-Spark-Data-Engineer-6a6c55deaa523444?fccid=a4e4e2eaf26690c9&vjs=3,"Analyze, rearchitect and replatform on premise data warehouses to data platforms.",middle_level,42500.0
197,Store Manager,Ace Hardware,Alabang,"PHP 20,000 - PHP 25,000 a month",https://ph.indeed.com/company/Ace-Hardware/jobs/Store-Manager-fd75b2173c3df0a1?fccid=d58be9e5bb7e408d&vjs=3,With atleast 3 years managerial experience in Retail and/or in the Food Industry.,senior_level,22500.0
199,Credit & Collection Head,"Achieve Without Borders, Inc. (AWB)",Makati,"PHP 30,000 - PHP 35,000 a month","https://ph.indeed.com/company/Achieve-Without-Borders,-Inc.-(AWB)/jobs/Credit-Collection-Head-094b8085a9298d85?fccid=f96f8f6a30fe0f79&vjs=3",Oversee the collection department of the company and responsible for the correct invoicing of clients and the timely receiving of payment.,senior_level,32500.0
451,Team Lead for Sales [Dayshift],Acquire BPO,Remote,"PHP 35,000 - PHP 40,000 a month",https://ph.indeed.com/company/Acquire-BPO/jobs/Team-Lead-Sales-c3c1a819bb913adb?fccid=8e3105038c198a1d&vjs=3,"As Team Leader, you are responsible in ensuring that all employment and personal information of employees are kept and handled in accordance with existing…",senior_level,37500.0
