,Title,Company,Location,Snippet,Job Url,Salary
0,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tJ2SM9kwyq9jPJgqEDZB2SVXHWNow1QpcM9GXnSijQUa_RSlO3UXbLN3xq1TKeHMro_wVVVybfmSp8IpQnqvpCBSLgK-ojs827EgBHR-55lfLUH0NE_xrcIYo_03Vrd0CDzNIg4FROMhtTvfB7wPge9wG4EK6zJU59lpa29u_BpZFMWvGnnJxgApI9Dv0cc_yCSNImRDmebnFh4Ui5gBzHbFEW0O-oxEht421OegcKH7HkY1VfFYJA7ptx64Oq5I_897LFZ3R1rWMyerzyvW87xLa8PIgj2UAXfDsmtvSkSI=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
1,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7cJgnwYrFCkmeJ4gKM-wgN3pJQwgYdeQF4YPHN_laKUSRhBu2SLjNQk4B68U74smClmKtSrZXe32j3WAGJMayfmWivU9up8MG_GJmX_p_7LO5Z1sD9gipUJ7fUj8Rf550Ms9Sz4ABEB9Xn7g2vN1FMwqsunt0QL6Rsi52Wrj2oWE__v1s-cxDg4tXCgUv0hMTYDwLoBtFebM_u8pXtSxS8LNlR8JFnMrdXkKnQAijOa8Rn6TNHr-K2EtP5cP-7LnPwJ8ZZq-wk6ndgtGlmBYHC5ECOw_I4MT8&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
2,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8e4WRig7A_-vTsbIqLUi4w5nLgyHwaoj7sea2DnWjTgO_A0xr-Tlz2bW8DYl1gYKLektQj9du38ta8hOqVra-jRCY2gkjuGB5lyk3OmQhRlBePMr-b6ff7ZeLjAS4k1QRW6GueW4T6MGpJ0oDEqfAn39SaFkVsIUD28e4GU590V_mBIoo_WcnZBiu2QnnHTqMEJ67KaB79TOAUpWp02BrBBBMN4aLQHq49q9fV29DoUUY_Mfy6bTYtPfIBxIpIWELAC4-guxDBCLa2leprdnTBLaPxyGqcU-h_DiuKAWSG8hU=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
3,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k2Nz-J0_JjOpo-8KyJi8cvURS6TWpfwn5OlYAA5USm7EovUtgjY213YPf7g-7iSvxx4dSCVP-nPUMn9q_-9Aki8DeKmq9FQX1ZDK592phF9DpmyxEYIibfQHtHoew5UWlZcZ_2IJFrftcohy_YwK9rXRrV9GzCQOok8EI8rT268nHSHldHCHKYAaFSqRZ8NAEtDudFK1jEMS052-tuPkNOpAdyZztQrIiDbqqZdzt45i_7Oi2S9LRhWt0quyHxqnYTxPWIq1hD1MlVXxCC8NWLCJWXvh7EVZb18MtcmA_x_M=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
4,newCustomer Service Associate Manager,Wells Fargo,Manila,"Collaborate and consult with internal partners, relationship managers, and colleagues to ensure customer satisfaction.In this role, you will:",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdG5ZL4C8Qq4L6_9C5Q6In8jBHvbmjkmbwx_jqHGR-0crH-tFWzEUlHkw3aUwEuFp6cI1sXOO4G8wSo8q0KS_vww1LJPy0caFyX79-UdbiCtBVsbseq9HtqUvLOg1BVKgQU-7bAQVjgdv-WoYfORpoOGyymrMpgWXgYkefFXa_ezjUU2Ork_sdRVnPg1FXzErlRLUKSPVlCn3yVMJhDvVq9QJ6U5Z_HzOHRzjTzgB9Lprvfa6vBUZ_8uwg98Phfq3rERHgH9a_P0uLHBZNlWUGYzeCvgEv6Val8x6VaeHsVpLwQ7mJIFmpmoJD0XFX9Pk3lzs9M8aCbGVJYtqiY8HXBISNAHQqSt2wHClDqf69P67l-To1sgJZQEBBvebpJxhQtgM8HDpFuclElYeXf70eFsKWJ_UwhUUORjGDn3jIVEwyukQwiuPIIRcHW0WPnNsKOZWGTiP6Obz0OdgmDdJt3R-U8xcQAu4m1eXJTTzZypB_q6ZFRNtm9ssRyk6YjgLmeE-RiUEjhEUdI2DiYkOqYp26EWkyB2eUJqYyzLnSleHZ_cATVyhWNrYzmz-pP7evDftt3mZczGIh3yzFl0YEjGEXujphxaW7Kbx_BpNDXwihHN3wOyjwEjjyQNk9lkrFnb6xb5quHY7k8eVsWkt_ng==&p=4&fvj=0&vjs=3,None
5,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
6,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
7,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
8,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
9,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
